"miRNA_cluster"	"subype/class"	"sign(up/down)"	"members"	"found"	"pval"	"fold_change"
"cl349_chr14"	"3"	"down"	"MI0000787/MI0003675/MI0000744/MI0000788/MI0006656/MI0000807/MI0003757/MI0001725/MI0001726/MI0003134/MI0014205/MI0005565/MI0003135/MI0000776/MI0003529/MI0003676/MI0002466/MI0000784/MI0005525/MI0003844/MI0003821/MI0000789/MI0003530/MI0003514/MI0005540/MI0003515/MI0003677/MI0002471/MI0000790/MI0000474/MI0003761/MI0002469/MI0014206/MI0000480/MI0003136/MI0000785/MI0005539/MI0001735/MI0002464/MI0000777/MI0002465/MI0003678"	"hsa-miR-381-3p/hsa-miR-379-5p/hsa-miR-409-3p/hsa-miR-411-5p/hsa-miR-543/hsa-miR-654-3p/hsa-miR-323a-3p/hsa-miR-495-3p/hsa-miR-487b-3p/hsa-miR-134-5p/hsa-miR-889-3p/hsa-miR-382-5p/hsa-miR-323b-3p/hsa-miR-485-3p/hsa-miR-409-5p/hsa-miR-329-3p/hsa-miR-369-3p/hsa-miR-758-3p/hsa-miR-485-5p/hsa-miR-376c-3p/hsa-miR-411-3p/hsa-miR-654-5p/hsa-miR-369-5p/hsa-miR-382-3p/hsa-miR-539-3p/hsa-miR-410-3p/hsa-miR-379-3p/hsa-miR-656-3p/hsa-miR-376a-3p/hsa-miR-1185-1-3p/hsa-miR-299-5p/hsa-miR-412-5p/hsa-miR-655-3p/hsa-miR-487a-3p/hsa-miR-299-3p/hsa-miR-1197/hsa-miR-377-3p/hsa-miR-154-5p/hsa-miR-487a-5p/hsa-miR-377-5p/hsa-miR-539-5p/hsa-miR-380-3p/hsa-miR-1185-2-3p/hsa-miR-376a-5p/hsa-miR-154-3p/hsa-miR-376b-3p/hsa-miR-494-3p/hsa-miR-668-3p/hsa-miR-376b-5p/hsa-miR-487b-5p/hsa-miR-323a-5p/hsa-miR-1185-5p/hsa-miR-541-3p/hsa-miR-329-5p/hsa-miR-134-3p/hsa-miR-495-5p/hsa-miR-410-5p/hsa-miR-496/hsa-miR-758-5p/hsa-miR-889-5p/hsa-miR-381-5p/hsa-miR-494-5p/hsa-miR-300/hsa-miR-541-5p/hsa-miR-655-5p/hsa-miR-376c-5p/hsa-miR-656-5p/hsa-miR-544a/hsa-miR-412-3p/hsa-miR-323b-5p/hsa-miR-1193/hsa-miR-380-5p"	"0.19/0.223/0.576/0.228/0.047/0.005/0.055/0.036/0.048/0.15/0.091/0.099/0.207/0.031/0.171/0.019/0.097/0.069/0.034/0.003/0.029/0.069/0.197/0.185/0.087/0.094/0.125/0.449/0.024/0.12/0.001/0.644/0.03/0.123/0.01/0.179/0.015/0.015/0.091/0.018/0.339/0.009/0.417/0.057/0.038/0.002/0.059/0.484/0.006/0.666/0.227/0.024/0.263/0.084/0.023/0.002/0.158/0.369/0.116/0.746/0.053/0.268/0.691/0.468/0.279/0.032/0.318/0.037/0.704/0.815/0.375/0.258"	"-0.743116679073404/-0.432988598747272/-0.298563044075425/-0.462027656975671/-0.727239437312671/-0.569575125928823/-0.688641345372791/-0.666541119298007/-0.688253987054668/-0.385281409038909/-0.38594411870373/-0.501624640143432/-0.552367384924602/-0.830331905109443/-0.338058228375469/-0.639339866003386/-0.371327877531076/-0.507582190271321/-0.785216109124862/-0.809400362791064/-0.512599623779099/-0.493271210887187/-0.396775608677043/-0.354489949235978/-0.590011274770728/-0.270781160682622/-0.474402924205703/-0.317157547879337/-0.448481996037569/-0.207264094602912/-0.640850982722491/-0.0790517708873504/-0.44618411325427/-0.362471105690803/-0.384048569045064/-0.267082251654064/-0.485909081707657/-0.425972527052979/-0.386286604378411/-0.522804145768063/-0.264460262394687/-0.618912327645869/-0.0573446303692186/-0.210989674599259/-0.443596025277451/-0.53604557594501/-0.458521827577059/-0.0966155394953184/-0.587456993961363/-0.136254762024736/-0.297121561804548/-0.409766848327984/0.0131016374918337/-0.184214538611224/-0.211752016757029/-0.224849711085762/-0.0401140263015934/-0.00861838298724029/-0.138884227239958/0.0245468052357053/-0.275194029477399/-0.0621489266116592/-0.037589034842146/0.100875396008514/-0.0399450475030168/-0.19297097837203/-0.0629782661525058/-0.143467386724526/-0.0061259287938629/-0.0069578167592213/-0.0233838107093869/-0.0119464107618779"
"cl349_chr14"	"4"	"up"	"MI0000787/MI0003675/MI0000744/MI0000788/MI0006656/MI0000807/MI0003757/MI0001725/MI0001726/MI0003134/MI0014205/MI0005565/MI0003135/MI0000776/MI0003529/MI0003676/MI0002466/MI0000784/MI0005525/MI0003844/MI0003821/MI0000789/MI0003530/MI0003514/MI0005540/MI0003515/MI0003677/MI0002471/MI0000790/MI0000474/MI0003761/MI0002469/MI0014206/MI0000480/MI0003136/MI0000785/MI0005539/MI0001735/MI0002464/MI0000777/MI0002465/MI0003678"	"hsa-miR-381-3p/hsa-miR-379-5p/hsa-miR-409-3p/hsa-miR-411-5p/hsa-miR-543/hsa-miR-654-3p/hsa-miR-323a-3p/hsa-miR-495-3p/hsa-miR-487b-3p/hsa-miR-134-5p/hsa-miR-889-3p/hsa-miR-382-5p/hsa-miR-323b-3p/hsa-miR-485-3p/hsa-miR-409-5p/hsa-miR-329-3p/hsa-miR-369-3p/hsa-miR-758-3p/hsa-miR-485-5p/hsa-miR-376c-3p/hsa-miR-411-3p/hsa-miR-654-5p/hsa-miR-369-5p/hsa-miR-382-3p/hsa-miR-539-3p/hsa-miR-410-3p/hsa-miR-379-3p/hsa-miR-656-3p/hsa-miR-376a-3p/hsa-miR-1185-1-3p/hsa-miR-299-5p/hsa-miR-412-5p/hsa-miR-655-3p/hsa-miR-487a-3p/hsa-miR-299-3p/hsa-miR-1197/hsa-miR-377-3p/hsa-miR-154-5p/hsa-miR-487a-5p/hsa-miR-377-5p/hsa-miR-539-5p/hsa-miR-380-3p/hsa-miR-1185-2-3p/hsa-miR-376a-5p/hsa-miR-154-3p/hsa-miR-376b-3p/hsa-miR-494-3p/hsa-miR-668-3p/hsa-miR-376b-5p/hsa-miR-487b-5p/hsa-miR-323a-5p/hsa-miR-1185-5p/hsa-miR-541-3p/hsa-miR-329-5p/hsa-miR-134-3p/hsa-miR-495-5p/hsa-miR-410-5p/hsa-miR-496/hsa-miR-758-5p/hsa-miR-889-5p/hsa-miR-381-5p/hsa-miR-494-5p/hsa-miR-300/hsa-miR-541-5p/hsa-miR-655-5p/hsa-miR-376c-5p/hsa-miR-656-5p/hsa-miR-544a/hsa-miR-412-3p/hsa-miR-323b-5p/hsa-miR-1193/hsa-miR-380-5p"	"0/0.001/0.005/0/0/0.002/0/0/0/0.01/0/0/0/0/0/0/0/0.001/0/0/0/0/0/0/0/0/0/0/0.001/0.005/0/0.017/0/0/0/0/0/0.002/0/0/0/0/0.039/0/0/0/0/0.003/0/0.001/0/0/0.323/0/0/0/0.084/0.021/0/0.537/0/0.391/0.067/0.021/0/0/0.004/0/0.283/0.531/0/0.067"	"1.71299580022416/1.13299794984239/0.903876533115481/1.56791373517365/1.3817366055387/1.15992449762307/1.72829144040483/1.56336370499813/1.96110448278798/0.830352506162687/1.29868303488832/1.37002709694332/1.57110741979808/1.54408056600138/1.24912532964775/1.53729517244711/1.18543502583107/0.965244289099527/1.50558603181704/1.82378866267329/1.09134698597704/1.13708143963114/1.27813253262661/1.21651910447158/1.55931243788384/1.13588211238329/1.05556785848732/1.22477129916979/1.15983451424211/0.684455310741808/1.43930880062185/0.618597163443846/1.42203848210281/1.41579604181065/1.01289468808025/1.06797132730422/1.17397297974124/1.07570462140748/1.1636752279277/1.2377178722445/1.28976524953078/1.61069114159549/0.412719369844849/0.964786988667373/1.15663516661433/1.19198973479962/1.09130840429461/0.630886646375718/1.36883697692018/0.496667729358613/0.789745740711552/1.18654345994539/0.0655825879343855/0.346748599700492/0.618344959762236/0.610579286573101/0.0729330101568406/0.407639682205001/0.447298660225392/0.0682725319330468/0.895218413010574/0.0835416660444619/0.0819845385908927/0.1159715993228/0.0906110287677781/0.457929793171636/0.145106987072247/0.466071320206401/0.0510165698824753/0.0194987673054956/0.0601736388952247/0.0359640235155011"
"cl402_chr15"	"1"	"down"	"MI0006272/MI0000264/MI0017351"	"hsa-miR-3529-3p/hsa-miR-7-5p/hsa-miR-3529-5p/hsa-miR-7-2-3p/hsa-miR-1179"	"0.013/0.014/0.246/0.181/0.327"	"-0.788685465321212/-0.894388113568991/-0.36304428316904/-0.40768881622034/-0.228956558273389"
"cl402_chr15"	"3"	"up"	"MI0006272/MI0000264/MI0017351"	"hsa-miR-3529-3p/hsa-miR-7-5p/hsa-miR-3529-5p/hsa-miR-7-2-3p/hsa-miR-1179"	"0.003/0.002/0.003/0.036/0.017"	"0.758659670506518/0.995549769221672/-0.509455813843286/-0.378329966688566/-0.162442076554357"
"cl402_chr15"	"3"	"down"	"MI0006272/MI0000264/MI0017351"	"hsa-miR-3529-3p/hsa-miR-7-5p/hsa-miR-3529-5p/hsa-miR-7-2-3p/hsa-miR-1179"	"0.003/0.002/0.003/0.036/0.017"	"0.758659670506518/0.995549769221672/-0.509455813843286/-0.378329966688566/-0.162442076554357"
"cl402_chr15"	"4"	"up"	"MI0006272/MI0000264/MI0017351"	"hsa-miR-3529-3p/hsa-miR-7-5p/hsa-miR-3529-5p/hsa-miR-7-2-3p/hsa-miR-1179"	"0.328/0.261/0/0.001/0.002"	"0.0263360233705611/-0.00215904267068852/0.735092122396496/0.602042103817972/0.318507261995042"
"cl415_chr16"	"2"	"down"	"MI0016882/MI0016409"	"hsa-miR-3180-3p/hsa-miR-3180-5p/hsa-miR-3180/hsa-miR-4516"	"0.045/0.001/0.122/0.095"	"-0.174598842899071/-0.473931196722249/-0.168544327563319/0.0208869829748941"
"cl415_chr16"	"3"	"up"	"MI0016882/MI0016409"	"hsa-miR-3180-3p/hsa-miR-3180-5p/hsa-miR-3180/hsa-miR-4516"	"0/0.061/0/0.773"	"0.509331159984044/0.211040547136996/0.431029221298642/-0.0147100636231987"
"cl416_chr16"	"2"	"down"	"MI0016078/MI0005762/MI0017352"	"hsa-miR-940/hsa-miR-4717-5p/hsa-miR-4717-3p/hsa-miR-3677-3p/hsa-miR-3677-5p"	"0.026/0.284/0.849/0.092/0.047"	"-0.453770801278218/-0.0638273233907715/-0.0401643339836486/-0.187184692458123/-0.0855518616799133"
"cl416_chr16"	"3"	"up"	"MI0016078/MI0005762/MI0017352"	"hsa-miR-940/hsa-miR-4717-5p/hsa-miR-4717-3p/hsa-miR-3677-3p/hsa-miR-3677-5p"	"0.003/0.328/0.434/0.812/0.033"	"0.373383699500354/-0.0452212997350777/-0.0630276650808529/0.0106882427313817/0.112962134330804"
"cl420_chr16"	"2"	"down"	"MI0003137/MI0000767"	"hsa-miR-365a-3p/hsa-miR-193b-3p/hsa-miR-193b-5p/hsa-miR-365a-5p"	"0/0.001/0/0.193"	"-2.01965783119411/-1.25577934083575/-0.892043195951944/-0.202686361153403"
"cl420_chr16"	"3"	"up"	"MI0003137/MI0000767"	"hsa-miR-365a-3p/hsa-miR-193b-3p/hsa-miR-193b-5p/hsa-miR-365a-5p"	"0.398/0.038/0.147/0.005"	"0.0912084364985779/0.831693813593787/0.396632680626496/0.431000866489558"
"cl420_chr16"	"4"	"up"	"MI0003137/MI0000767"	"hsa-miR-365a-3p/hsa-miR-193b-3p/hsa-miR-193b-5p/hsa-miR-365a-5p"	"0.017/0.023/0/0.831"	"0.114315280518074/0.533657438103795/0.772585831486807/-0.0697055108121598"
"cl421_chr16"	"2"	"down"	"MI0014213/MI0016071/MI0014214"	"hsa-miR-3180-3p/hsa-miR-3180-5p/hsa-miR-3180/hsa-miR-3179/hsa-miR-3670"	"0.042/0.004/0.116/0.789/0.66"	"-0.174598842899071/-0.473931196722249/-0.168544327563319/0.000590111156942633/0.0166535793123793"
"cl421_chr16"	"3"	"up"	"MI0014213/MI0016071/MI0014214"	"hsa-miR-3180-3p/hsa-miR-3180-5p/hsa-miR-3180/hsa-miR-3179/hsa-miR-3670"	"0/0.057/0/0.012/0.198"	"0.509331159984044/0.211040547136996/0.431029221298642/0.133883045949213/0.0126467735776074"
"cl425_chr16"	"2"	"down"	"MI0014216/MI0019112/MI0014215"	"hsa-miR-3180-3p/hsa-miR-3180-5p/hsa-miR-3180/hsa-miR-3179/hsa-miR-3670"	"0.038/0.002/0.116/0.772/0.685"	"-0.174598842899071/-0.473931196722249/-0.168544327563319/0.000590111156942633/0.0166535793123793"
"cl425_chr16"	"3"	"up"	"MI0014216/MI0019112/MI0014215"	"hsa-miR-3180-3p/hsa-miR-3180-5p/hsa-miR-3180/hsa-miR-3179/hsa-miR-3670"	"0/0.066/0/0.009/0.168"	"0.509331159984044/0.211040547136996/0.431029221298642/0.133883045949213/0.0126467735776074"
"cl426_chr16"	"2"	"down"	"MI0014217/MI0014221"	"hsa-miR-3180-3p/hsa-miR-3180-5p/hsa-miR-3180/hsa-miR-3179"	"0.036/0.002/0.126/0.767"	"-0.174598842899071/-0.473931196722249/-0.168544327563319/0.000590111156942633"
"cl426_chr16"	"3"	"up"	"MI0014217/MI0014221"	"hsa-miR-3180-3p/hsa-miR-3180-5p/hsa-miR-3180/hsa-miR-3179"	"0/0.056/0/0.01"	"0.509331159984044/0.211040547136996/0.431029221298642/0.133883045949213"
"cl451_chr17"	"2"	"down"	"MI0000449/MI0000288"	"hsa-miR-132-3p/hsa-miR-132-5p/hsa-miR-212-5p/hsa-miR-212-3p"	"0.006/0.065/0.001/0.019"	"-0.335135247948097/-0.214809986270142/-0.387451548261326/-0.4021263069041"
"cl451_chr17"	"3"	"up"	"MI0000449/MI0000288"	"hsa-miR-132-3p/hsa-miR-132-5p/hsa-miR-212-5p/hsa-miR-212-3p"	"0/0.001/0/0"	"0.482964686996657/0.396363521051183/0.616220302942808/0.616271221101217"
"cl454_chr17"	"1"	"up"	"MI0000489/MI0003138"	"hsa-miR-195-5p/hsa-miR-195-3p/hsa-miR-497-5p/hsa-miR-497-3p"	"0.012/0.022/0.003/0"	"0.732236329648568/0.709857723731807/1.12525220604519/0.817682925695717"
"cl454_chr17"	"2"	"up"	"MI0000489/MI0003138"	"hsa-miR-195-5p/hsa-miR-195-3p/hsa-miR-497-5p/hsa-miR-497-3p"	"0/0/0.011/0.005"	"0.744721174209592/1.41589552112269/0.509988360674955/0.449946943148196"
"cl454_chr17"	"3"	"down"	"MI0000489/MI0003138"	"hsa-miR-195-5p/hsa-miR-195-3p/hsa-miR-497-5p/hsa-miR-497-3p"	"0/0/0/0"	"-1.20364916118894/-1.24511008333514/-1.28884483608409/-0.72979949251867"
"cl467_chr17"	"1"	"up"	"MI0001729/MI0017360/MI0000460/MI0017369"	"hsa-miR-451a/hsa-miR-144-3p/hsa-miR-144-5p/hsa-miR-451b/hsa-miR-4732-3p/hsa-miR-4732-5p"	"0.014/0/0.058/0.113/0.346/0.095"	"0.886915256315399/1.09776026840559/0.631099349301546/0.0785748597310637/0.0543009583908297/0.0640135815762199"
"cl469_chr17"	"1"	"up"	"MI0001445/MI0014226"	"hsa-miR-423-3p/hsa-miR-3184-5p/hsa-miR-423-5p/hsa-miR-3184-3p"	"0.615/0.737/0.013/0.015"	"0.066136779239502/-0.0357421117515977/0.0990993290548281/0.0990993290548281"
"cl473_chr17"	"1"	"up"	"MI0017362/MI0000769"	"hsa-miR-365b-3p/hsa-miR-365b-5p/hsa-miR-4725-3p/hsa-miR-4725-5p"	"0/0/0/0"	"2.51096571350283/1.45570193371175/0.558537716555789/0.198805457907325"
"cl473_chr17"	"2"	"down"	"MI0017362/MI0000769"	"hsa-miR-365b-3p/hsa-miR-365b-5p/hsa-miR-4725-3p/hsa-miR-4725-5p"	"0/0/0.008/0.034"	"-2.01965783119411/-0.418425447559511/-0.162527436997145/-0.0670301363296177"
"cl491_chr17"	"4"	"down"	"MI0000458/MI0017373"	"hsa-miR-142-3p/hsa-miR-142-5p/hsa-miR-4736"	"0/0/0.608"	"-0.523430379415639/-0.633404340227566/-0.0016095483315464"
"cl498_chr17"	"2"	"down"	"MI0017375/MI0017932"	"hsa-miR-3064-5p/hsa-miR-3064-3p"	"0/0"	"-0.334403508856296/-0.414628084547792"
"cl498_chr17"	"4"	"up"	"MI0017375/MI0017932"	"hsa-miR-3064-5p/hsa-miR-3064-3p"	"0.036/0.024"	"0.0662735498260149/0.20707187863828"
"cl501_chr17"	"2"	"up"	"MI0016690/MI0003671"	"hsa-miR-548d-5p/hsa-miR-548aa/hsa-miR-548d-3p"	"0.019/0.007/0.004"	"0.166173165612655/0.2990983237212/0.268873824652561"
"cl501_chr17"	"4"	"down"	"MI0016690/MI0003671"	"hsa-miR-548d-5p/hsa-miR-548aa/hsa-miR-548d-3p"	"0.002/0.082/0.002"	"-0.248469801301077/-0.282661022988843/-0.319532939124348"
"cl512_chr17"	"1"	"up"	"MI0003681/MI0014228/MI0000814/MI0006385"	"hsa-miR-338-5p/hsa-miR-3065-5p/hsa-miR-338-3p/hsa-miR-1250-5p/hsa-miR-3065-3p/hsa-miR-657"	"0.197/0.03/0.017/0.015/0.106/0.372"	"0.594001923081016/0.762475598969743/0.732687100568947/0.782403925443066/0.685282061302008/-0.0131858400318693"
"cl512_chr17"	"2"	"down"	"MI0003681/MI0014228/MI0000814/MI0006385"	"hsa-miR-338-5p/hsa-miR-3065-5p/hsa-miR-338-3p/hsa-miR-1250-5p/hsa-miR-3065-3p/hsa-miR-657"	"0/0/0/0/0/0.088"	"-1.82469573442185/-2.28320783313512/-2.5016227067805/-1.80458870364329/-1.99367257170425/0.0120060889074834"
"cl512_chr17"	"4"	"up"	"MI0003681/MI0014228/MI0000814/MI0006385"	"hsa-miR-338-5p/hsa-miR-3065-5p/hsa-miR-338-3p/hsa-miR-1250-5p/hsa-miR-3065-3p/hsa-miR-657"	"0/0/0.001/0/0/0.636"	"1.07290510262154/1.44985053038649/1.46719216070149/0.682418648245108/1.60178985411049/-0.000587809802452402"
"cl522_chr18"	"2"	"down"	"MI0000450/MI0000437"	"hsa-miR-1-3p/hsa-miR-133a-3p/hsa-miR-133a-5p/hsa-miR-1-5p"	"0.016/0.015/0.108/0.42"	"-0.149460522924871/-0.720505446990609/-0.197418156350662/-0.0181538267378041"
"cl522_chr18"	"3"	"up"	"MI0000450/MI0000437"	"hsa-miR-1-3p/hsa-miR-133a-3p/hsa-miR-133a-5p/hsa-miR-1-5p"	"0/0.005/0.004/0.002"	"1.36485040429221/0.991924228341389/0.347150119763842/0.0725085776911827"
"cl522_chr18"	"4"	"down"	"MI0000450/MI0000437"	"hsa-miR-1-3p/hsa-miR-133a-3p/hsa-miR-133a-5p/hsa-miR-1-5p"	"0.008/0.36/0.024/0.092"	"-0.900250412216566/-0.348538637817238/-0.144935870773984/-0.0379384218922549"
"cl544_chr19"	"1"	"up"	"MI0017384/MI0014231"	"hsa-miR-3187-3p/hsa-miR-3187-5p/hsa-miR-4745-5p/hsa-miR-4745-3p"	"0.016/0.925/0.019/0.599"	"0.350612958100759/-0.0121199663233914/0.233818811956563/0.00510347455026844"
"cl563_chr19"	"1"	"up"	"MI0000081/MI0000085/MI0000079"	"hsa-miR-24-3p/hsa-miR-27a-3p/hsa-miR-23a-3p/hsa-miR-27a-5p/hsa-miR-24-2-5p/hsa-miR-23a-5p"	"0/0/0.012/0.359/0.787/0.918"	"1.98991205760875/0.910467186930572/0.468056038950926/0.01149373554401/0.00226797469437369/0.00156229130760843"
"cl563_chr19"	"4"	"down"	"MI0000081/MI0000085/MI0000079"	"hsa-miR-24-3p/hsa-miR-27a-3p/hsa-miR-23a-3p/hsa-miR-27a-5p/hsa-miR-24-2-5p/hsa-miR-23a-5p"	"0.001/0/0.112/0.061/0.115/0.032"	"-0.72546285298345/-0.632826198119129/-0.318506071815213/-0.35943798834531/0.0746707434845624/-0.090827789839225"
"cl564_chr19"	"1"	"down"	"MI0000271/MI0003139"	"hsa-miR-181d-5p/hsa-miR-181c-5p/hsa-miR-181c-3p/hsa-miR-181d-3p"	"0/0.009/0.002/0.004"	"-1.8363760094209/-1.02303263359601/-0.900126528693423/-0.364876143671556"
"cl564_chr19"	"2"	"down"	"MI0000271/MI0003139"	"hsa-miR-181d-5p/hsa-miR-181c-5p/hsa-miR-181c-3p/hsa-miR-181d-3p"	"0/0/0/0.279"	"-0.95198185703761/-1.77374582369253/-1.06166186202525/-0.14354394878938"
"cl564_chr19"	"4"	"up"	"MI0000271/MI0003139"	"hsa-miR-181d-5p/hsa-miR-181c-5p/hsa-miR-181c-3p/hsa-miR-181d-3p"	"0/0/0/0"	"1.36145143121332/2.02827741927908/1.31141863314079/0.633058459897418"
"cl578_chr19"	"1"	"up"	"MI0003657/MI0016685"	"hsa-miR-642a-5p/hsa-miR-642a-3p/hsa-miR-642b-5p/hsa-miR-642b-3p"	"0.307/0.02/0.029/0.945"	"-0.0252403583796392/0.0764984512962497/0.0764984512962497/-0.0251456259414522"
"cl578_chr19"	"2"	"down"	"MI0003657/MI0016685"	"hsa-miR-642a-5p/hsa-miR-642a-3p/hsa-miR-642b-5p/hsa-miR-642b-3p"	"0.091/0.011/0.009/0.114"	"-0.326106155656584/-0.254726402998619/-0.254726402998619/-0.0992461818696173"
"cl578_chr19"	"3"	"up"	"MI0003657/MI0016685"	"hsa-miR-642a-5p/hsa-miR-642a-3p/hsa-miR-642b-5p/hsa-miR-642b-3p"	"0.005/0.038/0.042/0.001"	"0.460358964636027/0.292447312102782/0.292447312102782/0.174297376657543"
"cl588_chr19"	"2"	"down"	"MI0000746/MI0000066/MI0000469"	"hsa-miR-125a-5p/hsa-miR-99b-5p/hsa-let-7e-5p/hsa-miR-99b-3p/hsa-let-7e-3p/hsa-miR-125a-3p"	"0/0/0.608/0.009/0.049/0.002"	"-0.45433035768204/-0.889605662140078/0.000102103256093217/-0.211235919706153/-0.130303602942625/0.400112656973279"
"cl588_chr19"	"3"	"up"	"MI0000746/MI0000066/MI0000469"	"hsa-miR-125a-5p/hsa-miR-99b-5p/hsa-let-7e-5p/hsa-miR-99b-3p/hsa-let-7e-3p/hsa-miR-125a-3p"	"0.193/0.003/0.82/0/0.161/0.022"	"0.162850152724319/0.457297990946014/0.0367471087690543/0.625028810831109/0.0892221590074675/0.238413245269199"
"cl588_chr19"	"4"	"up"	"MI0000746/MI0000066/MI0000469"	"hsa-miR-125a-5p/hsa-miR-99b-5p/hsa-let-7e-5p/hsa-miR-99b-3p/hsa-let-7e-3p/hsa-miR-125a-3p"	"0.002/0.013/0.372/0.003/0.629/0"	"0.39547118864147/0.338659863369813/0.177013631714582/-0.461313528854608/0.0198379212615102/-0.626382372947978"
"cl588_chr19"	"4"	"down"	"MI0000746/MI0000066/MI0000469"	"hsa-miR-125a-5p/hsa-miR-99b-5p/hsa-let-7e-5p/hsa-miR-99b-3p/hsa-let-7e-3p/hsa-miR-125a-3p"	"0.002/0.013/0.372/0.003/0.629/0"	"0.39547118864147/0.338659863369813/0.177013631714582/-0.461313528854608/0.0198379212615102/-0.626382372947978"
"cl590_chr19"	"2"	"down"	"MI0003140/MI0003141/MI0003786/MI0003142/MI0003143/MI0003144/MI0003145/MI0003146/MI0003147/MI0003148/MI0003832/MI0003149/MI0003150/MI0003151/MI0003152/MI0003153/MI0003154/MI0003155/MI0003156/MI0003157/MI0003158/MI0003159/MI0003160/MI0003161/MI0003162/MI0003163/MI0003164/MI0003165/MI0003166/MI0003167/MI0003168/MI0003169/MI0003170/MI0003171/MI0003172/MI0003173/MI0003174/MI0003175/MI0003176/MI0003177/MI0003178/MI0003179/MI0003180/MI0006430/MI0003181/MI0003182"	"hsa-miR-517a-3p/hsa-miR-517b-3p/hsa-miR-516b-5p/hsa-miR-516a-5p/hsa-miR-512-3p/hsa-miR-520a-3p/hsa-miR-526b-5p/hsa-miR-518b/hsa-miR-522-3p/hsa-miR-520g-3p/hsa-miR-520c-3p/hsa-miR-1323/hsa-miR-519d-5p/hsa-miR-518c-3p/hsa-miR-518e-3p/hsa-miR-520h/hsa-miR-517c-3p/hsa-miR-520f-5p/hsa-miR-520d-5p/hsa-miR-520g-5p/hsa-miR-512-5p/hsa-miR-520e/hsa-miR-519c-5p/hsa-miR-519b-5p/hsa-miR-523-5p/hsa-miR-518f-5p/hsa-miR-524-5p/hsa-miR-519d-3p/hsa-miR-520d-3p/hsa-miR-518e-5p/hsa-miR-522-5p/hsa-miR-519a-5p/hsa-miR-1283/hsa-miR-520a-5p/hsa-miR-526b-3p/hsa-miR-520b/hsa-miR-526a/hsa-miR-520c-5p/hsa-miR-518d-5p/hsa-miR-498/hsa-miR-515-5p/hsa-miR-519e-3p/hsa-miR-519c-3p/hsa-miR-518c-5p/hsa-miR-517-5p/hsa-miR-518a-3p/hsa-miR-519a-3p"	"0.013/0.018/0.144/0.112/0.761/0.527/0.042/0.126/0.032/0.498/0.43/0.547/0.183/0.943/0.725/0.192/0.685/0.818/0.358/0.332/0.754/0.453/0.101/0.109/0.095/0.36/0.813/0.69/0.229/0.088/0.099/0.099/0.496/0.5/0.437/0.423/0.444/0.467/0.473/0.337/0.889/0.56/0.457/0.54/0.45/0.273/0.757"	"-0.099493592454795/-0.099493592454795/-0.0452403409262274/-0.00277152584427844/0.00774316716253783/-0.00183898926035393/-0.0583163396412522/-0.0460521587792969/0.030182208320944/-0.0272508094402428/0.00664180047221718/0.0133051000641002/-0.0363781558072531/-0.00298820586720285/-0.00893751208643291/-0.0217111326347616/-0.00354497073819365/0.00411392005695619/0.00577773675190751/-0.0102642593675955/-0.0115372944363697/-0.00613265069998647/-0.023400545561343/-0.023400545561343/-0.023400545561343/-0.00959891342541788/-0.00630683694271773/-0.00582544862283719/0.00845818413132247/-0.023400545561343/-0.023400545561343/-0.023400545561343/0.0156985143271863/-0.00702464901230524/0.00420534783354339/0.00420534783354339/-0.0069098756294695/-0.0069098756294695/-0.0069098756294695/0.0119907719031418/-0.0157797251276471/0.000735673664141755/-0.00687514754763722/0.0011864034061907/-0.0077630201013495/-0.0159671468202941/-0.00609000112861471"
"cl591_chr19"	"3"	"up"	"MI0000779/MI0017393/MI0000780/MI0000781"	"hsa-miR-372-3p/hsa-miR-371b-3p/hsa-miR-371a-5p/hsa-miR-373-3p/hsa-miR-371a-3p/hsa-miR-372-5p/hsa-miR-371b-5p"	"0.047/0/0/0.132/0.097/0.051/0.587"	"0.822491509361145/0.448262388441694/0.344758932649983/0.265329088208303/0.228890950880081/0.098268297589417/0.0115265990993906"
"cl611_chr2"	"1"	"up"	"MI0000293/MI0000292"	"hsa-miR-217/hsa-miR-216a-5p/hsa-miR-216a-3p"	"0.014/0.002/0.043"	"0.646845990056022/0.843461006798795/0.765055147001629"
"cl611_chr2"	"4"	"down"	"MI0000293/MI0000292"	"hsa-miR-217/hsa-miR-216a-5p/hsa-miR-216a-3p"	"0.004/0/0"	"-0.690334653720387/-0.990207760228532/-1.24232778949536"
"cl689_chr20"	"2"	"down"	"MI0000108/MI0007262"	"hsa-miR-103a-3p/hsa-miR-103b/hsa-miR-103a-2-5p"	"0/0/0.04"	"-0.601208317243/-0.601208317243/-0.27726390240257"
"cl689_chr20"	"3"	"up"	"MI0000108/MI0007262"	"hsa-miR-103a-3p/hsa-miR-103b/hsa-miR-103a-2-5p"	"0.006/0.006/0.295"	"0.329812322276853/0.329812322276853/0.0718229442714203"
"cl696_chr20"	"1"	"up"	"MI0003183/MI0017396"	"hsa-miR-499a-5p/hsa-miR-499b-3p/hsa-miR-499b-5p/hsa-miR-499a-3p"	"0.028/0.08/0.009/0.013"	"1.02053071041631/0.67816030309439/0.102158950696705/0.227763978677233"
